protein name	cluster
POLE3	1
POLE4	1
DRAP1	1
DR1	1
TBP	1
NFYB	1
CRKL	2
PSMC3	2
PSMC6	2
CRK	2
PSMD9	2
USP53	2
PTPDC1	2
IGFL2	3
FAM222B	3
ZC3H10	3
TBX22	3
EPHB6	3
PLEKHA7	3
TLX3	3
PITX1	3
CCDC24	3
IFT57	4
OXNAD1	4
IFT20	4
KDM8	4
FAM81B	4
PHF21A	5
TNXB	5
QRICH1	5
FLOT1	5
PSMB8	5
BEND2	5
RHNO1	5
PANX2	5
BANP	5
SP3	5
HEYL	5
NRF1	5
SRARP	5
RHOQ	5
HHIPL1	5
STOX1	5
MVP	5
ZNF143	5
LIN54	5
ZNF664	6
CNOT9	6
GADD45G	6
RRP7A	6
GADD45A	6
POLR2G	7
POMC	7
ACOT8	7
FAM217B	7
TDO2	7
REL	7
TRIM8	7
MORN5	7
BCL2L15	7
RBP1	7
EIF5A2	7
DHPS	7
SCMH1	8
SFMBT1	8
TFAP4	8
SFMBT2	8
SCML2	8
SCML1	8
SLF2	8
RBPMS2	9
SERF2	9
TIAL1	9
PCBP1	9
RBFOX2	9
C3orf52	10
C5	10
SIGLECL1	10
NSG2	10
ASGR1	10
ACOT11	11
GOLGA6L2	11
TRAK1	11
MAGEB4	11
NEUROD4	11
KLF3	12
ZNF775	12
EHMT2	12
HIC2	12
KLF12	12
BBS4	13
RXRB	13
RXRG	13
NR1H2	13
SPOPL	13
NR1H3	13
RAB4A	14
RAB4B-EGLN2	14
RAB4B	14
FAM71C	14
CRYBB1	14
CDC45	14
EXOC5	14
RAB14	14
GCSAM	15
AK3	15
TRMT2A	15
PPIL6	15
LANCL2	15
APPBP2	15
CLCN1	15
PRDM5	15
SIAH1	15
SNX5	15
MAN2B2	15
MLLT3	15
MUL1	15
HGFAC	15
BIVM	15
SNAI2	16
ZNF76	16
RNF214	16
MTFR1L	16
USP6	16
FCRL4	16
CAND2	17
ARL8B	17
TAOK2	17
MICOS10	17
RHBDD2	17
MAOB	17
HOXD12	17
FGF14	17
TEX44	17
NAALAD2	17
SDHAF1	17
MICOS13	17
MTERF4	17
CIDEB	17
FOXD4L3	17
TIMM17B	17
MPC2	17
GCSH	17
FGF11	18
HMGXB4	18
STAC3	18
RPL22	18
THAP1	18
ATP6V1E2	19
H2AB2	19
IGF1	19
MESD	19
H2BC13	19
ZNF844	19
H2AB3	19
C17orf75	19
ZNF441	19
KCNIP4	19
H2BC15	19
TEX48	19
ATP6V1G1	19
SYT6	20
FLYWCH1	20
RAB33A	20
