cluster	p-value	GO-term
1	14.93147583097385	GO:0051123
2	22.935963097521675	GO:0050852
3	8.776133881811834	GO:0006357
4	14.72319395979173	GO:0042073
5	16.937588522587983	GO:0007049
6	16.394097947319455	GO:0000185
7	8.98533509021288	GO:0043123
8	30.974357738468328	GO:0045892
9	13.64211165536825	GO:0016070
10	8.388548888648739	GO:0010760
11	8.793983666573212	GO:0098957
12	18.56167855581405	GO:0000122
13	24.189560735989694	GO:0006367
14	15.043486083565675	GO:0032482
15	11.33734655572737	GO:0031648
16	8.61167348358421	GO:0003273
17	12.715459632493257	GO:0007007
18	8.570855280233022	GO:0046632
19	16.425352005199617	GO:0006334
20	19.92299999963248	GO:0006357
21	8.100897146624764	GO:0002467
22	8.745193502476479	GO:1902309
23	8.921962997650809	GO:0007275
24	16.59475853142549	GO:2000480
25	18.707209126382555	GO:0042147
26	14.844083950009354	GO:0006357
27	8.052114564984853	GO:0051650
28	26.84389547092655	GO:0033523
29	8.8993365996285	GO:1905786
30	13.619876041333914	GO:0006620
31	13.700359302629712	GO:0043542
32	9.575544623821774	GO:0006886
33	15.936017733337426	GO:0006357
34	8.206234915715958	GO:0031644
35	27.641543429678322	GO:0007269
36	14.42562404743878	GO:0006357
37	15.97067499512945	GO:0035372
38	47.31741109533609	GO:0097192
39	32.94096740838203	GO:0006367
40	7.983129276367984	GO:0048341
41	17.510978491003193	GO:0090168
42	10.194161058830296	GO:0000398
43	7.695492699406002	GO:0042136
44	9.598486252665998	GO:0006979
45	10.12505974075897	GO:0016579
46	8.793983666573212	GO:2000002
47	8.793983666573212	GO:0034553
48	31.36983909862025	GO:0032012
49	18.049954770678045	GO:0046314
50	9.081650573820983	GO:0032506
51	8.324014159258464	GO:0042461
52	17.980951789181685	GO:2000582
53	9.081650573820983	GO:1904151
54	8.793983666573212	GO:1901315
55	10.93803281062024	GO:0071805
56	11.03856955781371	GO:0001580
57	52.56269786239498	GO:0006357
58	8.8993365996285	GO:2000138
59	8.493894239596361	GO:1990737
60	29.1134167276455	GO:0043928
61	13.326742670183798	GO:0019827
62	8.493894239596361	GO:0060979
63	8.917959655569677	GO:0043065
64	14.10335609126238	GO:0034080
65	65.98474324871997	GO:0006357
66	9.276728050824666	GO:0018215
67	321.1039759161978	GO:0031424
68	7.918602128991492	GO:0043569
69	93.73193430670743	GO:0006357
70	16.44348982239957	GO:0006357
71	15.331107494015338	GO:0042167
72	9.081650573820983	GO:0060453
73	12.021933613531376	GO:0006888
74	8.745193502476479	GO:0007632
75	30.089493431140774	GO:0000398
76	8.8993365996285	GO:1903765
77	8.523751984606115	GO:0008150
78	8.745193502476479	GO:0033007
79	11.57022461442594	GO:0007165
80	13.637914757468288	GO:2000601
81	7.78248891140188	GO:0072425
82	7.764466615405312	GO:1902254
83	13.326742670183798	GO:0034260
84	14.727059562679758	GO:0000398
85	8.493894239596361	GO:1902445
86	14.82256529868568	GO:0051301
87	8.570855280233022	GO:0020027
88	23.00141987161494	GO:0006357
89	8.81741353141698	GO:0006357
90	8.745193502476479	GO:0010980
91	24.081914545426162	GO:0032402
92	8.388548888648739	GO:0032687
93	76.69129084384538	GO:0055085
94	25.794124530979047	GO:1904903
95	22.996001451808244	GO:0006357
96	8.745193502476479	GO:0007060
97	26.16878954462827	GO:0051343
98	7.800838049622776	GO:0010637
99	14.844083950009354	GO:0006357
100	14.39975150301677	GO:0042246
101	20.58719473500126	GO:0010803
102	27.975952679567055	GO:0006357
103	9.081650573820983	GO:1905555
104	9.454791940106889	GO:0000398
105	10.055533431172117	GO:0000122
106	14.900415571408445	GO:0043405
107	16.797267629595485	GO:1901385
108	8.8993365996285	GO:0006760
109	17.251487515903268	GO:0035773
110	14.377480090698977	GO:0032435
111	21.97753751441822	GO:0045214
112	8.12619979066111	GO:0090128
113	7.983129276419334	GO:0001961
114	16.87499478082128	GO:0032387
115	21.639321240957827	GO:0038095
116	10.955531393919175	GO:0090090
117	43.00794239413587	GO:0006607
118	9.081650573820983	GO:0006458
119	9.081650573820983	GO:0019805
120	8.23441337403398	GO:0042373
121	11.70649216862821	GO:0043406
122	8.745193502476479	GO:0045957
123	8.745193502476479	GO:0046013
124	19.503277207697376	GO:0006368
125	21.541830491189412	GO:0030049
126	17.734309154631664	GO:0030198
127	17.926728878829856	GO:0006357
128	8.745193502476479	GO:1901485
129	39.10579907894001	GO:0070317
130	8.100897146624764	GO:0061820
131	22.1439383308671	GO:0098962
132	7.80083804962132	GO:0086073
133	22.024626444937663	GO:0016567
134	10.021558905795185	GO:0007267
135	16.59475853156644	GO:0034447
136	11.526391473562168	GO:0019216
137	13.848888087753206	GO:0043687
138	8.570855280233022	GO:0035617
139	38.8158146783512	GO:0006208
140	24.114310194568148	GO:0000398
141	15.195623866451387	GO:0000398
142	8.793983666573212	GO:0048541
143	12.749198902778321	GO:0006357
144	21.59751974924189	GO:0051568
145	13.874888182591334	GO:0043966
146	10.083922661759695	GO:0010468
147	107.82858579063148	GO:0070268
148	19.63719413475918	GO:0008380
149	8.83631094006135	GO:0051301
150	7.983129276419334	GO:0032060
151	28.065795571506403	GO:0016338
152	17.539154422716333	GO:1905618
153	25.377615274612882	GO:0090110
154	8.29323870980263	GO:0031339
155	26.30013067668802	GO:0070498
156	8.388548888648739	GO:0048664
157	9.39968937741052	GO:0007267
158	7.107861475006111	GO:0007250
159	14.302791063468975	GO:0000398
160	24.58110604706968	GO:0006357
161	16.37163520104614	GO:0000338
162	43.95629411686356	GO:0006995
163	9.29240540886518	GO:0007283
164	8.38854888859886	GO:2000535
165	43.982168496799986	GO:0061640
166	25.8811188469113	GO:1904825
167	11.431576611835958	GO:0007010
168	73.5079971406833	GO:0015671
169	27.24109265255734	GO:0000398
170	9.081650573820983	GO:0035793
171	7.918583174295706	GO:0010866
172	8.745193502476479	GO:0048145
173	48.811686996829785	GO:0070936
174	8.918362867153853	GO:0000398
175	9.62177113253619	GO:0006366
176	25.684835337101898	GO:0030182
177	24.366116732036435	GO:0010738
178	19.437678991306296	GO:0016236
179	41.654029574521395	GO:0006357
180	14.706198911210485	GO:0030300
181	130.43967770681536	GO:0070268
182	21.949817934683704	GO:0043149
183	12.990482751078758	GO:0043484
184	9.081650573820983	GO:0019276
