protein name	cluster
CLK2	1
RSRP1	1
GTPBP2	1
SNRNP70	1
CLASRP	1
ZNF136	1
FAM90A1	2
CCDC198	2
ERCC3	2
PKP2	2
ARHGEF9	2
SCMH1	3
SFMBT1	3
SCML1	3
SFMBT2	3
SCML2	3
SRGAP2B	3
SLF2	3
ZSCAN26	4
ZNF557	4
UBL4B	4
CEP72	4
JMY	4
GOLGA6L9	4
DUSP26	4
ZNF230	4
NXT2	4
MAPKBP1	5
HOXA1	5
PRICKLE4	5
AMMECR1	5
CATSPER1	5
HR	5
POU4F2	5
ODF1	5
EGFL7	5
SLIT1	5
NID2	5
RTN4R	5
PHLDA1	5
OTX1	5
LGALS13	5
AL365205.1	5
GNE	5
NCBP1	6
RNF40	6
NINL	6
RNF20	6
CDC73	6
SYT6	7
RAB33A	7
MSC	7
EXOSC1	7
CEP85	7
IP6K3	7
NIF3L1	7
CNNM3	7
PAFAH1B3	7
NUDT14	7
LNX1	7
CCDC91	7
PSMF1	7
ZNF439	7
ZNF148	7
ANKRD36	7
FOXD4L1	7
DDX17	7
RUFY4	7
CYSLTR2	7
ZNF213	7
SPATA18	7
KCTD1	7
MYEF2	7
ENOX1	7
ITGB2	7
FRYL	8
PDCD10	8
C4orf19	8
PUS10	8
FAM118B	8
MINAR1	8
PROSER2	8
ABITRAM	8
STK25	8
RIPK4	9
IVD	9
PRR5	9
C10orf82	9
NR0B2	9
YWHAZ	9
STXBP5L	9
KRTAP19-4	9
GPSM3	9
COA7	9
HIGD2B	9
KLF12	10
KLF3	10
ZNF775	10
HIC2	10
EPDR1	10
EHMT2	10
RNF126	11
RNF115	11
WBP2	11
OTUB1	11
MID2	11
PTCD2	11
HOXB2	11
BSDC1	12
GABARAPL1	12
MAP1LC3A	12
GABARAPL2	12
SCYL3	12
CHRD	13
LCE3D	13
KRTAP5-6	13
B4GALT7	13
HDHD3	13
FBXO34	13
CES1	13
INTS11	13
KRTAP13-3	13
KRTAP2-3	13
HOXB9	13
CD300LG	13
VWC2	13
CTRC	13
ZNF440	13
SLC23A1	13
TEX45	13
NSD1	13
RGS17	13
C19orf54	13
MELTF	13
TGFB1	13
KPRP	13
FUCA2	13
CLEC18A	13
CYSRT1	13
RNF38	13
FAM76B	13
LCE3C	13
MXD3	13
KRTAP4-1	13
GMNN	13
VSTM4	13
FAM168B	13
PCSK5	13
KRTAP5-9	13
PRDM14	13
LCE1D	13
ZNF266	13
CST9L	13
INS	13
ZNF473	13
SMOC1	13
RSPO2	13
KRTAP19-2	13
