cluster	p-value	GO-term
1	8.793983666573212	GO:0010903
2	8.005594550238298	GO:1902993
3	41.66591351451069	GO:0031424
4	11.304506302365503	GO:0048208
5	49.62532867831976	GO:0070268
6	17.87561149358234	GO:1904825
7	10.087681234010738	GO:0006511
8	17.660726557962764	GO:0070268
9	20.202048431405657	GO:0031424
10	8.982584085497255	GO:0045944
11	30.7405784930242	GO:0031424
12	15.178643667853699	GO:0006397
13	15.178643667853699	GO:0006397
14	15.178643667853699	GO:0006397
15	15.178643667853699	GO:0006397
16	15.178643667853699	GO:0006397
17	7.983129276419334	GO:0010831
18	9.081650573820983	GO:0006850
19	8.29323870980263	GO:0140300
20	9.081650573820983	GO:0034770
21	8.745193502476479	GO:1903070
22	24.37157509275268	GO:0006357
23	10.888009837120565	GO:0031424
24	7.983129276419334	GO:2000562
25	11.460851212959243	GO:0007417
26	8.745193502476479	GO:0009056
27	8.745193502476479	GO:0009056
28	12.990482751078758	GO:0043484
29	8.745193502476479	GO:0035793
30	8.8993365996285	GO:0090128
31	21.818894806643467	GO:0045070
32	15.336849945649789	GO:0034472
33	35.462450425453234	GO:0015671
